Complaint Type,Location Type,Street Name,Borough
Noise - Vehicle,Street/Sidewalk,WEST  108 STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,EAST  132 STREET,BRONX
Noise - Vehicle,Street/Sidewalk,LORING PLACE SOUTH,BRONX
Non-Emergency Police Matter,Residential Building/House,MORRIS PARK AVENUE,BRONX
Non-Emergency Police Matter,Store/Commercial,CONEY ISLAND AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,HOWARD AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,LONGFELLOW AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,MACON STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,CRESTON AVENUE,BRONX
DOF Property - Payment Issue,Property Address,nan,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,VYSE AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,5 AVENUE,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,CHAUNCEY STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,SEAMAN AVENUE,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,HUDSON STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,CATHEDRAL PARKWAY,MANHATTAN
Illegal Parking,Street/Sidewalk,CATHEDRAL PARKWAY,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WARREN STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,WASHINGTON AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,CHESTER STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,ST MARKS AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,TELLER AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,LUDLOW STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WEST  156 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,56 STREET,BROOKLYN
Noise - Vehicle,Street/Sidewalk,WEST  128 STREET,MANHATTAN
Drug Activity,Street/Sidewalk,GRAND STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,GRAND STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,WASHINGTON AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,AMSTERDAM AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,CATHEDRAL PARKWAY,MANHATTAN
Noise - Vehicle,Street/Sidewalk,FRANKLIN AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,105 AVENUE,QUEENS
Noise - Vehicle,Street/Sidewalk,AQUEDUCT AVENUE,BRONX
Non-Emergency Police Matter,Street/Sidewalk,WEST  125 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,8 AVENUE,MANHATTAN
Rodent,3+ Family Apt. Building,BROADWAY,MANHATTAN
Illegal Parking,Street/Sidewalk,WEST   52 STREET,MANHATTAN
Noise - Helicopter,Above Address,EAST   28 STREET,MANHATTAN
Noise - Helicopter,Above Address,129 STREET,QUEENS
Noise - Helicopter,Above Address,EAST   28 STREET,MANHATTAN
Broken Parking Meter,Street,COLUMBUS AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,CATHEDRAL PARKWAY,MANHATTAN
Illegal Parking,Street/Sidewalk,LAFAYETTE AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,QUEENS BOULEVARD,QUEENS
Unsanitary Animal Pvt Property,1-2 Family Dwelling,BEACH  120 STREET,QUEENS
Rodent,3+ Family Apt. Building,BUSH STREET,BRONX
Rodent,3+ Family Apt. Building,LINDEN STREET,QUEENS
General Construction/Plumbing,nan,MT MORRIS PARK WEST,MANHATTAN
Illegal Parking,Street/Sidewalk,CARLTON AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,POLICE PLAZA,MANHATTAN
Illegal Parking,Street/Sidewalk,2 AVENUE,MANHATTAN
Broken Parking Meter,Street,10 AVENUE,MANHATTAN
Rodent,3+ Family Apt. Building,WEST  108 STREET,MANHATTAN
Noise - Helicopter,Above Address,EAST   31 STREET,MANHATTAN
Noise - Helicopter,Above Address,EAST   29 STREET,MANHATTAN
Broken Parking Meter,Street,4 AVENUE,BROOKLYN
Drug Activity,Other,CORTELYOU ROAD,BROOKLYN
Water System,nan,VANBRUNT STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,EAST   26 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,7 AVENUE,MANHATTAN
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,QUEENS
Noise - Residential,Residential Building/House,LYVERE STREET,BRONX
Illegal Parking,Street/Sidewalk,ST JOHNS PLACE,BROOKLYN
Illegal Parking,Street/Sidewalk,OLD SLIP,MANHATTAN
Illegal Parking,Street/Sidewalk,MADISON AVENUE,MANHATTAN
Rodent,Vacant Building,KINGSTON AVENUE,BROOKLYN
Broken Parking Meter,Street,EAST   22 STREET,MANHATTAN
Noise - Helicopter,Above Address,LEXINGTON AVENUE,MANHATTAN
Drug Activity,Hallway,45 STREET,QUEENS
Violation of Park Rules,Park,PARK LANE,QUEENS
Maintenance or Facility,Street/Curbside,SEAMAN AVENUE,MANHATTAN
Air Quality,nan,EAST TREMONT AVENUE,BRONX
Noise,nan,HERKIMER PLACE,BRONX
Noise,nan,73 STREET,QUEENS
Broken Parking Meter,Street,MCDONALD AVENUE,BROOKLYN
Ferry Inquiry,Ferry,nan,Unspecified
Noise,nan,146 STREET,QUEENS
Noise,nan,CHAUNCEY STREET,BROOKLYN
Noise,nan,BEACH   96 STREET,QUEENS
Noise,nan,nan,MANHATTAN
Noise,nan,nan,MANHATTAN
Benefit Card Replacement,Address Outside of NYC,nan,Unspecified
Noise,nan,WEST   69 STREET,MANHATTAN
Noise,nan,AVENUE OF THE AMERICAS,MANHATTAN
Broken Parking Meter,Street,BROADWAY,MANHATTAN
Broken Parking Meter,Street,LINDEN BOULEVARD,QUEENS
Noise,nan,WEST   22 STREET,MANHATTAN
Food Establishment,Restaurant/Bar/Deli/Bakery,8 AVENUE,BROOKLYN
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,QUEENS
Noise,nan,4 PLACE,BROOKLYN
Noise,nan,WORLD TRADE CENTER,MANHATTAN
Traffic Signal Condition,nan,nan,BRONX
Food Establishment,Restaurant/Bar/Deli/Bakery,nan,Unspecified
Food Establishment,Restaurant/Bar/Deli/Bakery,EAST GUN HILL ROAD,BRONX
Food Establishment,Restaurant/Bar/Deli/Bakery,HOWARD AVENUE,BROOKLYN
Noise,nan,30 ROAD,QUEENS
Noise,nan,nan,MANHATTAN
Noise,nan,MERCER STREET,MANHATTAN
Food Establishment,Restaurant/Bar/Deli/Bakery,LINDEN STREET,BROOKLYN
Food Establishment,Restaurant/Bar/Deli/Bakery,ST NICHOLAS AVENUE,MANHATTAN
For Hire Vehicle Complaint,nan,VANDERBILT AVENUE,BROOKLYN
Noise,nan,AVENUE OF THE AMERICAS,MANHATTAN
Food Establishment,Restaurant/Bar/Deli/Bakery,QUEENS BOULEVARD,QUEENS
Food Establishment,Restaurant/Bar/Deli/Bakery,EAST  161 STREET,BRONX
Noise,nan,FT HAMILTON PARKWAY,BROOKLYN
Noise,nan,GREENWICH STREET,MANHATTAN
Noise,nan,BOWERY,MANHATTAN
Noise,nan,THAYER STREET,MANHATTAN
Food Establishment,Restaurant/Bar/Deli/Bakery,BROADWAY,MANHATTAN
For Hire Vehicle Complaint,nan,EAST   42 STREET,MANHATTAN
Noise,nan,194 STREET,QUEENS
Food Establishment,Restaurant/Bar/Deli/Bakery,MALCOM X BOULEVARD,BROOKLYN
For Hire Vehicle Complaint,nan,CENTRE STREET,MANHATTAN
For Hire Vehicle Complaint,nan,SPRING STREET,MANHATTAN
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,BROOKLYN
Noise,nan,DE KALB AVENUE,BROOKLYN
